Date,Close/Last,Volume,Open,High,Low
08/05/2019,$17.95,3377277,$18.1,$18.6,$17.735
08/02/2019,$18.6,3289007,$18.2,$18.79,$18.02
08/01/2019,$18.05,2634940,$18.02,$18.56,$17.95
07/31/2019,$18.13,2690283,$18.05,$18.47,$17.89
07/30/2019,$18,3989029,$18.13,$19.03,$17.86
07/29/2019,$18.28,2574511,$18.7,$18.7228,$17.9
07/26/2019,$18.7,3936785,$18.28,$18.72,$18.14
07/25/2019,$18.35,3831298,$19.29,$19.44,$18.015
07/24/2019,$18.89,7670624,$18.82,$20.1599,$18.35
07/23/2019,$18.89,8663189,$17.64,$18.96,$17.59
07/22/2019,$17.65,3766230,$17.79,$17.85,$17.22
07/19/2019,$17.79,4229238,$18.24,$18.28,$17.65
07/18/2019,$18.46,7566313,$17.8,$18.54,$16.86
07/17/2019,$18.45,4627105,$17.92,$18.9,$17.92
07/16/2019,$18.13,8245907,$17.91,$18.37,$17.73
07/15/2019,$17.74,18190670,$19.22,$19.22,$17.33
07/12/2019,$19.4,8907254,$20.13,$20.31,$19.3
07/11/2019,$20.45,8982064,$21.4,$21.73,$19.92
07/10/2019,$21.4,5758615,$22.15,$22.32,$21.025
07/09/2019,$21.89,8019776,$21.69,$23.0899,$21.61
07/08/2019,$21.73,8090902,$21.45,$21.84,$20.92
07/05/2019,$21.79,3494280,$22.22,$22.26,$21.57
07/03/2019,$22.37,3217291,$22.47,$23.0999,$22.03
07/02/2019,$22.4,4797176,$23.36,$23.49,$22.13
07/01/2019,$23.35,4685428,$23.11,$23.56,$22.47
06/28/2019,$22.92,10740880,$23.74,$24.1197,$22.18
06/27/2019,$23.95,7600645,$21.75,$24.033,$21.49
06/26/2019,$21.72,5820759,$21.44,$21.91,$20.95
06/25/2019,$21.6,13765850,$21.66,$22.21,$20.93
06/24/2019,$21.67,8706234,$22.97,$23.3,$21.265
06/21/2019,$22.96,21088680,$22.75,$25.19,$22.12
06/20/2019,$23.57,19836370,$21,$23.85,$20.8
06/19/2019,$20.53,16633780,$19.62,$21.07,$19.42
06/18/2019,$19.14,3322800,$19.14,$19.69,$18.96
06/17/2019,$18.88,3937406,$18.6,$19.09,$18.54
06/14/2019,$18.48,1746814,$18.19,$18.64,$18.1
06/13/2019,$18.29,2360255,$18.3,$18.47,$18.03
06/12/2019,$18.24,5714625,$18.94,$19.53,$17.97
06/11/2019,$19.1,7045835,$19.86,$19.97,$18.97
06/10/2019,$19.77,3405466,$20.88,$21,$19.53
06/07/2019,$20.46,5486915,$20.83,$21.07,$20.35
06/06/2019,$20.97,10012030,$20.57,$21.26,$19.09
06/05/2019,$20.75,14809980,$18.74,$21.27,$18.38
06/04/2019,$18.74,7561180,$18.05,$19.44,$17.71
06/03/2019,$17.89,6035376,$17.2,$17.89,$17.008
05/31/2019,$17.1,9651370,$17.55,$17.68,$16.705
05/30/2019,$17.78,9607275,$17.3,$18.72,$16.27
05/29/2019,$17.13,7907361,$17.55,$17.77,$16.76
05/28/2019,$17.73,10638600,$18.88,$18.9528,$17.4
05/24/2019,$18.83,3437125,$19.19,$19.29,$18.82
05/23/2019,$18.99,5615623,$18.95,$19.2901,$18.57
05/22/2019,$19,7364817,$18.37,$19.25,$18.3
05/21/2019,$18.45,5723376,$17.68,$18.49,$17.525
05/20/2019,$17.68,8248701,$16.65,$17.83,$16.49
05/17/2019,$17.02,13270610,$18,$18.15,$16.86
